,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,31,41.0,27.8,62.1,.448,17.8,32.7,.546,10.0,29.4,.339,17.3,23.7,.728,12.6,31.7,44.3,14.9,6.1,5.0,14.3,18.9,82.8
Opponent,31,41.0,24.3,64.5,.377,18.7,44.6,.419,5.6,19.9,.284,15.3,21.6,.706,11.9,25.3,37.2,10.3,7.4,3.8,12.0,20.5,69.5
