,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.6,26.5,60.8,.436,18.0,37.4,.482,8.5,23.4,.362,11.8,16.2,.732,10.1,24.3,34.4,14.1,5.2,1.6,10.8,18.5,73.3
Opponent,33,40.6,25.9,55.0,.472,18.4,33.5,.550,7.5,21.5,.350,15.1,20.7,.732,7.9,26.3,34.2,13.6,5.1,3.3,12.1,17.2,74.5
